Season,Site,Toyota,Ford,Chevrolet
2007,Darlington,0,1,3
2007,Dover,0,2,2
2007,Daytona,0,2,2
2007,Michigan,0,1,3
2008,Bristol,0,1,4
2008,Pocono,2,0,2
2008,Loudon,2,0,1
2009,Martinsville,1,0,4
2009,Dover,0,1,3
2010,Martinsville,3,0,2
2010,Fort Worth,2,1,1
2010,Talladega,1,0,4
2010,Charlotte,2,0,2
2011,Pocono,1,0,2
2011,Atlanta,0,1,3
2011,Chicago,0,1,3
2012,Daytona,1,2,2
2012,Bristol,2,1,2
2013,Bristol,2,1,2
2013,Pocono,0,0,5
2014,Phoenix,0,2,3
2014,Fort Worth,2,1,2
2014,Dover,3,1,1
2014,Daytona,1,1,3
2014,Indianapolis,3,1,1
2015,Richmond,0,1,4
2015,Daytona,1,0,4
2015,Kentucky,4,1,0
2015,Charlotte,1,1,3
2015,Homestead,1,2,2
2016,Dover,1,0,4
2016,Pocono,0,2,3
2017,Bristol,1,3,1
2017,Kansas,2,2,1
2018,Michigan,1,4,0
2019,Richmond,2,3,0
2019,Michigan,2,2,1
2019,Daytona,0,1,4
2019,Talladega,1,4,0
2020,Las Vegas,0,2,3
2020,Darlington,3,2,0
2020,Charlotte,1,1,3
2021,Martinsville,2,0,3
2021,Talladega,0,4,1
2021,Charlotte,1,0,4
2021,Talladega,2,2,1
2022,Martinsville,0,2,3
2022,Darlington,0,2,3
2022,Elkhart Lake,0,0,5
2022,Watkins Glen,0,1,4
2022,Daytona,0,1,4
2022,Darlington,2,1,2
2022,Kansas,4,0,1
2023,Fontana,0,1,4
2023,Bristol (Dirt),2,1,2
2023,Dover,2,1,2
2023,Charlotte,3,1,1
2023,Chicago,0,0,5
2023,Loudon,1,3,1
